#customer_id, first_name,last_name,customer_category,loan_id, loan_category, due_date, due_amount, payment_date
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,22-09-2019,9000,22-09-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,25-10-2019,9000,26-10-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,25-11-2019,9000,25-11-2019
CT71222,Josephine,Barr,Student,LN_9415,Medical Loan,24-12-2019,9000,29-12-2019
CT56276,Fay,Carr,Others,LN_4833,Personal Loan,23-01-2019,5000,23-01-2019
CT56276,Fay,Carr,Others,LN_4833,Personal Loan,22-02-2019,5000,17-02-2019
CT30950,Arlene,Calderon,Self,LN_3171,Personal Loan,22-01-2019,9000,17-01-2019
CT30950,Arlene,Calderon,Self,LN_3171,Personal Loan,23-03-2019,9000,19-03-2019
CT27126,Nicole,Acevedo,Student,LN_3523,Personal Loan,22-01-2019,9000,22-01-2019
CT27126,Nicole,Acevedo,Student,LN_3523,Personal Loan,22-02-2019,9000,21-02-2019
CT27126,Nicole,Acevedo,Student,LN_3523,Personal Loan,24-03-2019,9000,24-03-2019
CT27126,Nicole,Acevedo,Student,LN_3523,Personal Loan,25-04-2019,9000,25-04-2019
CT27126,Nicole,Acevedo,Student,LN_3523,Personal Loan,25-05-2019,9000,25-05-2019
CT27126,Nicole,Acevedo,Student,LN_3523,Personal Loan,24-06-2019,9000,24-06-2019
CT29233,Wilma,Abbott,Others,LN_9999,Personal Loan,25-01-2019,5000,25-01-2019
CT29233,Wilma,Abbott,Others,LN_9999,Personal Loan,24-02-2019,5000,19-02-2019
CT29233,Wilma,Abbott,Others,LN_9999,Personal Loan,23-03-2019,5000,23-03-2019
CT29233,Wilma,Abbott,Others,LN_9999,Personal Loan,23-04-2019,5000,21-04-2019
CT29233,Wilma,Abbott,Others,LN_9999,Personal Loan,23-05-2019,5000,23-05-2019
CT29233,Wilma,Abbott,Others,LN_9999,Personal Loan,25-06-2019,5000,22-06-2019
CT29233,Wilma,Abbott,Others,LN_9999,Personal Loan,22-07-2019,5000,22-07-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,24-01-2019,7000,24-01-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,22-02-2019,7000,23-02-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,25-03-2019,7000,25-03-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,22-04-2019,7000,22-04-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,23-05-2019,7000,24-05-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,23-06-2019,7000,24-06-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,23-07-2019,7000,28-07-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,25-08-2019,7000,27-08-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,23-09-2019,7000,26-09-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,22-10-2019,7000,22-10-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,23-11-2019,7000,23-11-2019
CT14299,Miyuki,Brooks,Student,LN_5259,Medical Loan,22-12-2019,7000,22-12-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,25-01-2019,9000,25-01-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,23-02-2019,9000,23-02-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,22-03-2019,9000,22-03-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,24-04-2019,9000,24-04-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,22-05-2019,9000,27-05-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,25-06-2019,9000,25-06-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,24-07-2019,9000,24-07-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,24-08-2019,9000,25-08-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,23-09-2019,9000,27-09-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,25-10-2019,9000,30-10-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,23-11-2019,9000,23-11-2019
CT63122,Etsuko,Branch,Others,LN_4436,Medical Loan,25-12-2019,9000,27-12-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,22-01-2019,6000,22-01-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,22-02-2019,6000,25-02-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,25-03-2019,6000,25-03-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,25-04-2019,6000,28-04-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,25-05-2019,6000,25-05-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,23-06-2019,6000,23-06-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,22-07-2019,6000,27-07-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,23-08-2019,6000,26-08-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,22-09-2019,6000,26-09-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,24-10-2019,6000,24-10-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,22-11-2019,6000,25-11-2019
CT12439,Shary,Cash,Student,LN_2290,Medical Loan,24-12-2019,6000,25-12-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,22-01-2019,1000,22-01-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,25-02-2019,1000,28-02-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,24-03-2019,1000,27-03-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,25-04-2019,1000,28-04-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,24-05-2019,1000,24-05-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,23-06-2019,1000,23-06-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,22-07-2019,1000,23-07-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,25-08-2019,1000,28-08-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,23-09-2019,1000,23-09-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,23-10-2019,1000,23-10-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,24-11-2019,1000,27-11-2019
CT95698,Youko,Bridges,Others,LN_4017,Medical Loan,24-12-2019,1000,29-12-2019
CT74474,Nanaho,Brennan,Businessman,LN_1275,Personal Loan,25-01-2019,7000,25-01-2019
CT74474,Nanaho,Brennan,Businessman,LN_1275,Personal Loan,24-02-2019,7000,23-02-2019
CT74474,Nanaho,Brennan,Businessman,LN_1275,Personal Loan,25-03-2019,7000,25-03-2019
CT74474,Nanaho,Brennan,Businessman,LN_1275,Personal Loan,23-04-2019,7000,19-04-2019
CT74474,Nanaho,Brennan,Businessman,LN_1275,Personal Loan,23-05-2019,7000,23-05-2019
CT74474,Nanaho,Brennan,Businessman,LN_1275,Personal Loan,22-06-2019,7000,17-06-2019
CT74474,Nanaho,Brennan,Businessman,LN_1275,Personal Loan,23-07-2019,7000,23-07-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,22-01-2019,2000,22-01-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,24-02-2019,2000,24-02-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,23-03-2019,2000,25-03-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,23-04-2019,2000,25-04-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,23-05-2019,2000,23-05-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,25-06-2019,2000,25-06-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,24-07-2019,2000,27-07-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,23-08-2019,2000,23-08-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,25-09-2019,2000,25-09-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,25-10-2019,2000,30-10-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,22-11-2019,2000,24-11-2019
CT82062,Cindy,Bryan,Others,LN_1791,Medical Loan,22-12-2019,2000,22-12-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,25-01-2019,2000,25-01-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,25-02-2019,2000,25-02-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,22-03-2019,2000,26-03-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,22-04-2019,2000,27-04-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,24-05-2019,2000,27-05-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,22-06-2019,2000,27-06-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,25-07-2019,2000,27-07-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,23-08-2019,2000,24-08-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,25-09-2019,2000,30-09-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,23-10-2019,2000,25-10-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,24-11-2019,2000,26-11-2019
CT83820,Henri,Cantu,Student,LN_1575,Medical Loan,24-12-2019,2000,28-12-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,25-01-2019,5000,25-01-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,23-02-2019,5000,26-02-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,23-03-2019,5000,23-03-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,25-04-2019,5000,25-04-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,24-05-2019,5000,25-05-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,25-06-2019,5000,29-06-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,22-07-2019,5000,24-07-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,22-08-2019,5000,26-08-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,25-09-2019,5000,27-09-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,23-10-2019,5000,23-10-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,25-11-2019,5000,25-11-2019
CT93771,Valerie,Burton,Serviceman,LN_4622,Medical Loan,23-12-2019,5000,28-12-2019
CT27486,Virginie,Ashley,Others,LN_5952,Personal Loan,24-01-2019,2000,21-01-2019
CT27486,Virginie,Ashley,Others,LN_5952,Personal Loan,25-03-2019,2000,25-03-2019
CT27486,Virginie,Ashley,Others,LN_5952,Personal Loan,24-04-2019,2000,24-04-2019
CT27486,Virginie,Ashley,Others,LN_5952,Personal Loan,23-05-2019,2000,23-05-2019
CT27486,Virginie,Ashley,Others,LN_5952,Personal Loan,23-06-2019,2000,20-06-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,23-01-2019,5000,28-01-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,22-02-2019,5000,22-02-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,22-03-2019,5000,22-03-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,22-04-2019,5000,22-04-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,22-05-2019,5000,24-05-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,25-06-2019,5000,27-06-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,25-07-2019,5000,27-07-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,25-08-2019,5000,27-08-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,25-09-2019,5000,25-09-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,22-10-2019,5000,22-10-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,22-11-2019,5000,25-11-2019
CT79071,Oscar,Benjamin,Self,LN_8658,Medical Loan,23-12-2019,5000,28-12-2019
CT37576,Stan,Alvarado,Others,LN_7187,Personal Loan,25-01-2019,1000,22-01-2019
CT37576,Stan,Alvarado,Others,LN_7187,Personal Loan,23-02-2019,1000,22-02-2019
CT37576,Stan,Alvarado,Others,LN_7187,Personal Loan,24-03-2019,1000,21-03-2019
CT37576,Stan,Alvarado,Others,LN_7187,Personal Loan,22-04-2019,1000,22-04-2019
CT37576,Stan,Alvarado,Others,LN_7187,Personal Loan,22-05-2019,1000,21-05-2019
CT37576,Stan,Alvarado,Others,LN_7187,Personal Loan,25-06-2019,1000,22-06-2019
CT37576,Stan,Alvarado,Others,LN_7187,Personal Loan,25-07-2019,1000,25-07-2019
CT37576,Stan,Alvarado,Others,LN_7187,Personal Loan,23-08-2019,1000,18-08-2019
CT37576,Stan,Alvarado,Others,LN_7187,Personal Loan,25-09-2019,1000,23-09-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,22-01-2019,9000,22-01-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,24-02-2019,9000,27-02-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,22-03-2019,9000,26-03-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,25-04-2019,9000,30-04-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,22-05-2019,9000,22-05-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,23-06-2019,9000,24-06-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,22-07-2019,9000,24-07-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,22-08-2019,9000,22-08-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,22-09-2019,9000,22-09-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,24-10-2019,9000,27-10-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,25-11-2019,9000,30-11-2019
CT75832,William,Anderson,Others,LN_3432,Medical Loan,23-12-2019,9000,24-12-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,22-01-2019,5000,27-01-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,23-02-2019,5000,24-02-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,25-03-2019,5000,25-03-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,25-04-2019,5000,30-04-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,24-05-2019,5000,24-05-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,25-06-2019,5000,27-06-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,25-07-2019,5000,25-07-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,22-08-2019,5000,25-08-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,25-09-2019,5000,29-09-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,25-10-2019,5000,27-10-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,24-11-2019,5000,24-11-2019
CT90381,Allison,Bennett,Self,LN_9625,Medical Loan,25-12-2019,5000,25-12-2019
CT85320,Bill,Briggs,Businessman,LN_1157,Personal Loan,23-01-2019,1000,23-01-2019
CT85320,Bill,Briggs,Businessman,LN_1157,Personal Loan,23-02-2019,1000,20-02-2019
CT85320,Bill,Briggs,Businessman,LN_1157,Personal Loan,24-03-2019,1000,24-03-2019
CT85320,Bill,Briggs,Businessman,LN_1157,Personal Loan,22-04-2019,1000,22-04-2019
CT85320,Bill,Briggs,Businessman,LN_1157,Personal Loan,22-05-2019,1000,22-05-2019
CT85320,Bill,Briggs,Businessman,LN_1157,Personal Loan,25-06-2019,1000,23-06-2019
CT85320,Bill,Briggs,Businessman,LN_1157,Personal Loan,25-07-2019,1000,23-07-2019
CT85320,Bill,Briggs,Businessman,LN_1157,Personal Loan,25-08-2019,1000,22-08-2019
CT85320,Bill,Briggs,Businessman,LN_1157,Personal Loan,25-09-2019,1000,25-09-2019
CT54266,Charley,Cannon,Self,LN_8852,Personal Loan,23-01-2019,2000,23-01-2019
CT54266,Charley,Cannon,Self,LN_8852,Personal Loan,25-05-2019,2000,21-05-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,25-01-2019,9000,25-01-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,24-02-2019,9000,23-02-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,24-03-2019,9000,24-03-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,23-04-2019,9000,23-04-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,22-05-2019,9000,17-05-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,23-06-2019,9000,23-06-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,24-07-2019,9000,24-07-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,24-08-2019,9000,24-08-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,23-09-2019,9000,22-09-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,23-10-2019,9000,23-10-2019
CT95057,Edouard,Cannon,Student,LN_3459,Personal Loan,23-11-2019,9000,23-11-2019
CT31740,Wilfred,Byrd,Businessman,LN_9368,Personal Loan,25-01-2019,2000,20-01-2019
CT31740,Wilfred,Byrd,Businessman,LN_9368,Personal Loan,22-03-2019,2000,22-03-2019
CT31740,Wilfred,Byrd,Businessman,LN_9368,Personal Loan,22-05-2019,2000,19-05-2019
CT31740,Wilfred,Byrd,Businessman,LN_9368,Personal Loan,22-07-2019,2000,22-07-2019
CT33368,Gert,Branch,Self,LN_2179,Personal Loan,22-01-2019,9000,22-01-2019
CT33368,Gert,Branch,Self,LN_2179,Personal Loan,23-03-2019,9000,23-03-2019
CT33368,Gert,Branch,Self,LN_2179,Personal Loan,22-05-2019,9000,22-05-2019
CT33368,Gert,Branch,Self,LN_2179,Personal Loan,23-06-2019,9000,23-06-2019
CT33368,Gert,Branch,Self,LN_2179,Personal Loan,22-07-2019,9000,19-07-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,24-01-2019,1000,24-01-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,24-02-2019,1000,26-02-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,25-03-2019,1000,28-03-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,25-04-2019,1000,25-04-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,24-05-2019,1000,28-05-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,25-06-2019,1000,30-06-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,24-07-2019,1000,25-07-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,25-08-2019,1000,29-08-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,25-09-2019,1000,25-09-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,25-10-2019,1000,25-10-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,22-11-2019,1000,26-11-2019
CT55264,Beryl,Aguirre,Others,LN_1466,Medical Loan,24-12-2019,1000,24-12-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,24-01-2019,1000,28-01-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,23-02-2019,1000,23-02-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,24-03-2019,1000,24-03-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,23-04-2019,1000,27-04-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,24-05-2019,1000,26-05-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,25-06-2019,1000,25-06-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,22-07-2019,1000,22-07-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,24-08-2019,1000,25-08-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,22-09-2019,1000,23-09-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,22-10-2019,1000,22-10-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,24-11-2019,1000,26-11-2019
CT17943,Chiaki,Cash,Serviceman,LN_5603,Medical Loan,24-12-2019,1000,24-12-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,25-01-2019,1000,28-01-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,22-02-2019,1000,22-02-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,23-03-2019,1000,23-03-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,24-04-2019,1000,26-04-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,22-05-2019,1000,27-05-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,23-06-2019,1000,28-06-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,25-07-2019,1000,25-07-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,24-08-2019,1000,24-08-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,23-09-2019,1000,28-09-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,22-10-2019,1000,22-10-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,23-11-2019,1000,26-11-2019
CT93683,Joyce,Andrews,Self,LN_8807,Medical Loan,24-12-2019,1000,25-12-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,25-01-2019,7000,26-01-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,24-02-2019,7000,24-02-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,24-03-2019,7000,25-03-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,25-04-2019,7000,26-04-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,25-05-2019,7000,25-05-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,24-06-2019,7000,24-06-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,22-07-2019,7000,24-07-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,25-08-2019,7000,29-08-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,23-09-2019,7000,28-09-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,24-10-2019,7000,28-10-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,23-11-2019,7000,26-11-2019
CT58053,Kumiko,Barron,Businessman,LN_3741,Medical Loan,23-12-2019,7000,23-12-2019
CT25887,Kate,Carlson,Businessman,LN_2836,Personal Loan,23-01-2019,7000,23-01-2019
CT25887,Kate,Carlson,Businessman,LN_2836,Personal Loan,23-02-2019,7000,21-02-2019
CT25887,Kate,Carlson,Businessman,LN_2836,Personal Loan,23-03-2019,7000,23-03-2019
CT25887,Kate,Carlson,Businessman,LN_2836,Personal Loan,22-04-2019,7000,21-04-2019
CT25887,Kate,Carlson,Businessman,LN_2836,Personal Loan,23-05-2019,7000,19-05-2019
CT25887,Kate,Carlson,Businessman,LN_2836,Personal Loan,24-06-2019,7000,19-06-2019
CT64914,Noel,Alford,Businessman,LN_7131,Medical Loan,25-01-2019,5000,29-01-2019
CT64914,Noel,Alford,Businessman,LN_7131,Medical Loan,22-02-2019,5000,25-02-2019
CT64914,Noel,Alford,Businessman,LN_7131,Medical Loan,23-03-2019,5000,23-03-2019
CT64914,Noel,Alford,Businessman,LN_7131,Medical Loan,22-04-2019,5000,26-04-2019
CT64914,Noel,Alford,Businessman,LN_7131,Medical Loan,24-05-2019,5000,27-05-2019
CT64914,Noel,Alford,Businessman,LN_7131,Medical Loan,23-06-2019,5000,23-06-2019
CT64914,Noel,Alford,Businessman,LN_7131,Medical Loan,23-07-2019,5000,28-07-2019
CT64914,Noel,Alford,Businessman,LN_7131,Medical Loan,23-08-2019,5000,28-08-2019
CT64914,Noel,Alford,Businessman,LN_7131,Medical Loan,22-09-2019,5000,27-09-2019
